cve_id,primary_urls,secondary_urls,dead_links,ignored_links,failed_links,has_combined,has_refined
CVE-2022-43863,2,0,0,0,0,True,True
CVE-2022-40740,1,0,0,0,0,True,True
CVE-2022-22265,1,0,0,0,0,True,True
CVE-2022-34527,2,0,0,0,0,True,True
CVE-2022-23546,2,0,0,0,0,True,True
CVE-2021-21901,1,0,0,0,0,True,True
CVE-2022-21786,1,0,0,0,0,True,True
CVE-2022-2818,2,0,0,0,0,True,True
CVE-2022-0247,1,0,0,0,0,True,True
CVE-2022-21358,2,0,0,0,0,True,True
CVE-2021-20543,2,0,0,0,0,True,False
CVE-2021-30661,6,0,0,0,0,True,False
CVE-2021-33126,1,0,0,0,0,True,True
CVE-2022-32635,1,0,0,0,0,True,True
CVE-2021-40539,3,0,0,0,0,True,False
CVE-2022-25916,3,0,0,0,0,True,False
CVE-2022-31501,2,0,0,0,0,True,True
CVE-2021-40777,1,0,0,0,0,True,False
CVE-2022-1634,3,0,0,0,0,True,False
CVE-2022-22239,1,0,0,0,0,True,False
CVE-2022-22159,1,0,0,0,0,True,False
CVE-2022-28144,2,0,0,0,0,True,False
CVE-2022-20226,1,0,0,0,0,True,False
CVE-2022-20376,1,0,0,0,0,True,False
CVE-2022-26097,1,0,0,0,0,True,False
CVE-2022-25786,1,0,0,0,0,True,False
CVE-2021-45605,1,0,0,0,0,True,False
CVE-2022-3821,7,0,0,0,0,True,False
CVE-2022-2459,3,0,0,0,0,True,False
CVE-2022-26865,1,0,0,0,0,True,False
CVE-2022-29965,2,0,0,0,0,True,False
CVE-2022-38769,2,0,0,0,0,True,False
CVE-2022-25581,1,0,0,0,1,False,False
CVE-2022-34152,1,0,0,0,0,True,False
CVE-2022-23286,1,0,0,0,0,True,False
CVE-2022-47345,1,0,0,0,0,True,False
CVE-2022-38770,2,0,0,0,0,True,False
CVE-2022-0610,2,0,0,0,0,True,False
CVE-2022-42827,2,0,0,0,0,True,False
CVE-2021-38692,1,0,0,0,0,True,False
CVE-2022-25865,3,0,0,0,0,True,False
CVE-2021-21948,1,0,0,0,0,True,False
CVE-2022-38512,2,0,0,0,0,True,False
CVE-2022-31665,1,0,0,0,0,True,False
CVE-2022-37968,2,0,0,0,0,True,False
CVE-2022-35535,1,0,0,0,0,True,False
CVE-2022-20349,1,0,0,0,0,True,False
CVE-2022-24550,1,0,0,0,0,True,False
CVE-2022-0795,3,0,0,0,0,True,True
CVE-2022-26845,1,0,0,0,0,True,True
CVE-2022-22621,4,0,0,0,0,True,True
CVE-2022-3315,2,0,0,0,0,True,True
CVE-2021-34473,3,0,0,0,0,True,True
CVE-2022-25512,1,0,0,0,0,True,True
CVE-2021-23329,2,0,0,0,0,True,True
CVE-2021-30589,5,0,0,0,0,True,True
CVE-2022-41215,2,0,0,0,0,True,False
CVE-2022-29587,2,0,0,0,0,True,True
CVE-2022-23814,1,0,0,0,0,True,True
CVE-2022-22525,1,0,0,0,0,True,False
CVE-2022-21705,2,0,0,0,0,True,True
CVE-2022-24595,1,0,0,0,0,True,False
CVE-2022-43396,1,0,0,0,0,True,False
CVE-2022-43844,2,0,0,0,0,True,False
CVE-2022-32488,1,0,0,0,0,True,False
CVE-2022-26057,1,0,0,0,0,True,False
CVE-2022-36375,2,0,0,0,0,True,False
CVE-2022-4344,4,0,0,0,0,True,False
CVE-2021-45327,4,0,0,0,0,True,False
CVE-2022-36799,1,0,0,0,0,True,False
CVE-2021-1045,1,0,0,0,0,True,True
CVE-2022-3729,1,0,0,0,0,True,False
CVE-2022-32525,1,0,0,0,1,False,False
CVE-2022-23425,1,0,0,0,0,True,False
CVE-2022-22734,1,0,0,0,0,True,False
CVE-2021-30350,1,0,0,0,0,True,False
CVE-2022-20529,1,0,0,0,0,True,False
CVE-2021-3560,4,0,0,0,0,True,False
CVE-2022-26486,2,0,0,0,0,True,False
CVE-2022-34907,2,0,0,0,0,True,False
CVE-2022-30734,1,0,0,0,0,True,False
CVE-2022-32430,2,0,0,0,2,False,False
CVE-2021-30860,15,0,0,0,0,True,False
CVE-2022-34573,2,0,0,0,0,True,False
CVE-2022-39885,1,0,0,0,0,True,False
CVE-2021-26370,1,0,0,0,0,True,False
CVE-2021-42724,1,0,0,0,0,True,False
CVE-2022-32266,2,0,0,0,0,True,False
CVE-2022-22816,5,0,0,0,0,True,False
CVE-2021-0168,1,0,0,0,0,True,False
CVE-2022-36893,2,0,0,0,0,True,False
CVE-2022-48302,2,0,0,0,0,True,False
CVE-2022-32540,1,0,0,0,1,False,False
CVE-2022-24783,1,0,0,0,0,True,False
CVE-2022-28491,2,0,0,0,0,True,False
CVE-2022-0609,2,0,0,0,0,True,False
CVE-2022-30749,1,0,0,0,0,True,False
CVE-2022-29212,8,0,0,0,0,True,False
CVE-2021-0964,1,0,0,0,0,True,True
CVE-2021-3622,5,0,0,0,0,True,False
CVE-2022-34362,2,0,0,0,0,True,False
CVE-2022-3590,2,0,0,0,0,True,False
CVE-2021-31576,1,0,0,0,0,True,False
CVE-2022-39838,3,0,0,0,0,True,False
CVE-2022-47933,5,0,0,0,0,True,False
CVE-2021-1256,2,0,0,0,0,True,False
CVE-2022-37905,1,0,0,0,1,False,False
CVE-2022-36536,3,0,0,0,0,True,False
CVE-2022-24314,1,0,0,0,0,True,False
CVE-2022-35477,1,0,0,0,0,True,False
CVE-2022-47453,1,0,0,0,0,True,False
CVE-2022-25151,2,0,0,0,0,True,False
CVE-2022-3448,3,0,0,0,0,True,False
CVE-2022-33181,2,0,0,0,0,True,False
CVE-2021-36317,2,0,0,0,0,True,False
CVE-2022-29279,2,0,0,0,0,True,False
CVE-2021-26259,2,0,0,0,0,True,False
CVE-2022-0179,2,0,0,0,0,True,False
CVE-2021-44397,1,0,0,0,0,True,False
CVE-2022-41181,2,0,0,0,0,True,False
CVE-2021-40892,1,0,0,0,0,True,False
CVE-2022-31221,1,0,0,0,0,True,False
CVE-2021-40823,2,0,0,0,0,True,False
CVE-2022-20479,1,0,0,0,0,True,False
CVE-2022-39953,1,0,0,0,0,True,False
CVE-2022-20076,1,0,0,0,0,True,False
CVE-2021-45918,1,0,0,0,0,True,False
CVE-2022-2543,1,0,0,0,0,True,False
CVE-2022-33731,1,0,0,0,0,True,False
CVE-2021-44168,1,0,0,0,0,True,False
CVE-2021-22288,1,0,0,0,0,True,False
CVE-2022-33749,4,0,0,0,0,True,False
CVE-2022-38135,2,0,0,0,0,True,False
CVE-2022-20616,2,0,0,0,0,True,False
CVE-2022-45379,2,0,0,0,0,True,False
CVE-2022-3493,1,0,0,0,0,True,False
CVE-2022-22792,1,0,0,0,1,False,False
CVE-2022-20698,2,0,0,0,0,True,False
CVE-2022-2302,1,0,0,0,0,True,False
CVE-2021-22923,6,0,0,0,0,True,False
CVE-2022-47967,1,0,0,0,0,True,False
CVE-2021-42888,1,0,0,0,0,True,False
CVE-2022-35841,1,0,0,0,0,True,False
CVE-2022-36891,2,0,0,0,0,True,False
CVE-2022-1337,1,0,0,0,0,True,False
CVE-2022-24721,2,0,0,0,0,True,False
CVE-2022-23448,1,0,0,0,0,True,False
CVE-2022-21884,2,0,0,0,0,True,False
CVE-2022-39308,4,0,0,0,0,True,False
CVE-2022-42329,6,0,0,0,0,True,False
CVE-2022-29922,1,0,0,0,1,False,False
CVE-2021-21958,2,0,0,0,0,True,False
CVE-2022-29640,1,0,0,0,0,True,False
CVE-2022-46831,1,0,0,0,0,True,False
CVE-2022-20480,1,0,0,0,0,True,False
CVE-2022-41169,2,0,0,0,0,True,False
CVE-2022-30525,5,0,0,0,0,True,False
CVE-2022-45433,1,0,0,0,0,True,False
CVE-2022-43455,1,0,0,0,0,True,False
CVE-2022-46140,1,0,0,0,0,True,False
CVE-2022-43528,1,0,0,0,1,False,False
CVE-2022-32618,1,0,0,0,0,True,False
CVE-2022-46076,2,0,0,0,0,True,False
CVE-2021-38924,2,0,0,0,0,True,False
CVE-2022-23367,1,0,0,0,0,True,True
CVE-2022-23650,4,0,0,0,0,True,True
CVE-2022-31620,2,0,0,0,0,True,True
CVE-2022-31529,1,0,0,0,0,True,True
CVE-2022-27839,1,0,0,0,0,True,True
CVE-2022-2614,4,0,0,0,0,True,True
CVE-2022-31547,1,0,0,0,0,True,False
CVE-2022-29596,1,0,0,0,0,True,True
CVE-2022-40023,6,0,0,0,0,True,True
CVE-2022-22034,1,0,0,0,0,True,False
CVE-2022-1656,1,0,0,0,0,True,True
CVE-2022-27508,1,0,0,0,0,True,False
CVE-2022-27673,1,0,0,0,0,True,True
CVE-2022-23807,2,0,0,0,0,True,True
CVE-2022-33680,2,0,0,0,0,True,False
CVE-2021-29662,6,0,0,0,0,True,True
CVE-2021-30346,1,0,0,0,0,True,False
CVE-2022-21708,2,0,0,0,0,True,True
CVE-2022-41983,1,0,0,0,0,True,False
CVE-2021-45936,3,0,0,0,0,True,True
CVE-2021-27785,1,0,0,0,1,False,False
CVE-2022-36443,2,0,0,0,0,True,True
CVE-2021-40016,1,0,0,0,0,True,True
CVE-2022-41082,5,0,0,0,0,True,True
CVE-2022-32613,1,0,0,0,0,True,True
CVE-2022-39196,1,0,0,0,0,True,True
CVE-2022-32220,1,0,0,0,0,True,False
CVE-2022-20614,3,0,0,0,0,True,True
CVE-2021-41117,2,0,0,0,0,True,False
CVE-2021-3797,2,0,0,0,0,True,True
CVE-2022-29479,1,0,0,0,0,True,False
CVE-2022-0821,2,0,0,0,0,True,False
CVE-2022-39974,1,0,0,0,0,True,False
CVE-2022-33285,1,0,0,0,0,True,False
CVE-2022-31167,3,0,0,0,0,True,False
CVE-2022-26982,2,0,0,0,0,True,False
CVE-2022-22674,3,0,0,0,0,True,False
CVE-2022-39266,4,0,0,0,0,True,False
CVE-2022-34866,2,0,0,0,0,True,False
CVE-2021-31575,1,0,0,0,0,True,False
CVE-2022-24259,2,0,0,0,0,True,False
CVE-2022-31128,4,0,0,0,0,True,False
CVE-2022-3181,1,0,0,0,0,True,False
CVE-2022-27830,1,0,0,0,0,True,False
CVE-2022-31566,1,0,0,0,0,True,False
CVE-2022-34290,1,0,0,0,0,True,False
CVE-2022-23332,3,0,0,0,0,True,False
CVE-2021-21551,3,0,0,0,0,True,False
CVE-2022-36325,1,0,0,0,0,True,False
CVE-2022-39101,1,0,0,0,0,True,False
CVE-2022-35254,1,0,0,0,0,True,False
CVE-2022-36340,2,0,0,0,0,True,False
CVE-2022-42931,2,0,0,0,0,True,False
CVE-2022-0483,1,0,0,0,0,True,False
CVE-2022-40764,4,0,0,0,0,True,False
CVE-2022-27179,1,0,0,0,0,True,False
CVE-2022-24394,1,0,0,0,1,False,False
CVE-2022-25676,1,0,0,0,0,True,False
